,_id,ltable_ID,rtable_ID,ltable_Brand,ltable_Name,ltable_Amazon_Price,ltable_Original_Price,ltable_Features,ltable_Parameters,ltable_tfidf,rtable_Brand,rtable_Name,rtable_Price,rtable_Description,rtable_Features,rtable_Parameters,rtable_tfidf,label
4928,4928,4,124,HP,HP Chromebook 14 - New Version (Snow White),$339.99,,"NVIDIA Tegra K1 Processor. 2 GB DDR3L SDRAM. 16 GB Solid-State Drive. 14-Inch Screen. Chrome, 8.0-hour battery life",14 K1 2 DDR3L 16 14 8.0,new hp white chromebook 14,HP,HP Pavilion 15.6 Laptop AMD A10Series 8GB Memory 1TB Hard Drive Silver 15-ab161nr ,$599.99,"Pavilion 15.6&#34; Laptop - AMD A10-Series - 8GB Memory - 1TB Hard Drive, Read customer reviews and buy online at Best Buy.","Windows 10 operating system,15.6 display,AMD A10-8700P accelerated processor,8GB system memory for advanced multitasking,1TB hard drive for ample file storage space,Cloud support lets you access your files anywhere,AMD Radeon R6 graphics,Dual built-in speakers,Weighs 4.89 lbs. and measures 0.99 thin,Bluetooth interface syncs with compatible devices,2 USB 3.0 ports maximize the latest high-speed devices,HDMI output expands your viewing options,Built-in media reader for simple file management,Next-generation wireless connectivity,Built-in webcam,SuperMulti DVD/CD burner,HP CoolSense technology keeps you comfortable,Multimedia software package included,Additional ports,Windows 10 brings back the Start Menu from Windows 7 and introduces new features, like the Edge Web browser that lets you markup Web pages on your screen. ,BrightView technology brings out vivid colors in your photos and videos. Typical 1366 x 768 HD resolution. Energy-efficient WLED backlight.,Quad-core processing. AMD Quad-Core A10 APU handles the AMD Radeon graphics alongside the central processor to balance the load, unleashing the graphics for extreme gaming and immersive movies.,Substantial high-bandwidth RAM to smoothly run your games and photo- and video-editing applications, as well as multiple programs and browser tabs all at once.,Holds a significant collection of digital photos, music, HD videos and DVD-quality movies. 5400 rpm spindle speed for standard read/write times.,Store your photos, videos, documents and other files on Dropbox for secure access across multiple devices. Fees may apply.,Driven by up to 4352MB of shared video memory, this chipset provides reliable image quality for surfing the Web, watching movies, editing photos and playing games.,B&O PLAY audio technology helps bring your entertainment to life.,Balances portability and screen size, so you get a respectable amount of viewing space without the laptop being too cumbersome for practical portability. 4-cell lithium-ion battery.,Wirelessly transfer photos, music and other media between the laptop and your Bluetooth-enabled cell phone or MP3 player, or connect Bluetooth wireless accessories.,Also includes a USB 2.0 port to connect more accessories and peripherals. The USB 3.0 ports are backward-compatible with USB 2.0 devices (at 2.0 speeds).,Connect to an HDTV or high-def monitor to set up two screens side by side or just see more of the big picture.,Supports a variety of memory card formats.,Connects to your network or hotspots on all current Wi-Fi standards. Connect to a Wireless-AC router for speed nearly 3x faster than Wireless-N. The Fast Ethernet LAN port also plugs into wired networks.,Video chat with friends and family over Skype and other popular applications.,Reads and writes to a variety of media formats, including DVD+R/RW, DVD-R/RW and CD-R/RW.,Automatically adjusts the laptop's temperature based on use and conditions, so the surface stays cool instead of heating up.,CyberLink PhotoDirector, YouCam and PowerDirector.,Headphone-out/microphone-in combo jack. DisplayPort output.,AMD, AMD Arrow logo and combinations thereof are trademarks of Advanced Micro Devices, Inc.",15.6 A10Series 8GB 1TB 15 ab161nr 15.6 A10 8GB 1TB 10 15.6 A10 8700P 8GB 1TB R6 4.89 0.99 2 3.0 10 7 1366 768 A10 5400 4352MB 4 MP3 2.0 3.0 2.0 2.0 3x,ab161nr a10series pavilion hp amd,0
6553,6553,7,570,Dell,"Dell Inspiron 11.6-Inch 2 in 1 Convertible Touchscreen Laptop, i3147-3750sLV",$371.14,$449.99,"Intel Pentium Processor N3520 2.16GHz. 4 GB DDR3L SDRAM. 500 GB 7200 rpm Hard Drive. 11.6-Inch Screen, Intel HD Graphics. Windows 8.1; Free upgrade to Windows 10 when available",11.6 2 1 i3147 3750sLV N3520 2.16GHz. 4 DDR3L 500 7200 11.6 8.1; 10,convertible inch dell inspiron 11,Dell,Dell Dell Latitude E5500 Laptop No Black E5500 ,$144.99,"Latitude E5500 Laptop Notebook-Core 2 Duo 2.0GHz-2GB DDR2-80GB-DVD+CDRW-Windows 7, Read customer reviews and buy online at Best Buy.","Processor Manufacturer: Intel,Processor Type: Core 2 Duo,Processor Speed: 2 GHz,Processor Core: Dual-core (2 Core),Standard Memory: 2 GB,Memory Technology: DDR2 SDRAM,Hard Drive Capacity: 80 GB,Optical Drive Type: Combo Drive,Screen Size: 15.4,Aspect Ratio: 16:10,Graphics Controller Manufacturer: Intel,Graphics Controller Model: GMA 4500MHD,Graphics Memory Technology: DDR2 SDRAM,Graphics Memory Accessibility: Shared,Wireless LAN: Yes,Wireless LAN Standard: IEEE 802.11b/g,Ethernet Technology: Gigabit Ethernet,Total Number of USB Ports: 4,Network (RJ-45): Yes,Operating System Platform: Windows,Operating System: Windows 7 Home Premium,Operating System Architecture: 64-bit,Color: Black,Height: 1.5,Width: 14",E5500 E5500 E5500 2 2.0GHz 2GB DDR2 80GB 7 2 2 2 2 DDR2 80 15.4 16:10 4500MHD DDR2 802.11b 4 45 7 64 1.5 14,e5500 dell latitude laptop black,0
7241,7241,8,408,Dell,"Super Power Supply? AC / DC Laptop Adapter Charger Cord for Dell XPS, Dell Inspiron P28F, P25F, P35G, P17E, P24G, P30G, P23F, P04E, M102z, P19Ta, P31G, P37G, P33G, P37G, P36F, P26F, P24E, P15E Notebook Netbook Battery Plug",$18.89,,Input: 110-220V Output: 19.5V 4.62A. Warranty: 1 Year. Super Power Supply? are manufactured and tested to match or exceed OEM products.. Trademarked by Super Power Supply?. Sold exclusively by Super Power Supply?,P28F P25F P35G P17E P24G P30G P23F P04E M102z P19Ta P31G P37G P33G P37G P36F P26F P24E P15E 110 220V 19.5V 4.62A. 1,plug cord dc netbook dell,Dell,Dell Inspiron 15.6 TouchScreen Laptop Intel Core i7 8GB Memory 1TB Hard Drive Silver I7558-4010BLK ,$799.99,"Inspiron 15.6&#34; Touch-Screen Laptop - Intel Core i7 - 8GB Memory - 1TB Hard Drive, Read customer reviews and buy online at Best Buy.","Microsoft Windows 8.1 operating system preinstalled,15.6 Full HD touch screen for hands-on control,5th Gen Intel?? Core??? i7-5500U mobile processor,8GB system memory for advanced multitasking,1TB hard drive for ample file storage space,Intel?? HD Graphics,Built-in stereo speakers,Weighs 4.8 lbs. and measures 0.78 thin,Bluetooth 4.0 interface syncs with compatible devices,2 USB 3.0 ports maximize the latest high-speed devices,HDMI 1.4a output expands your viewing options,Built-in media reader for simple photo transfer,Next-Gen Intel?? Wireless-AC connectivity,Built-in widescreen high-definition webcam with dual digital microphone array,Backlit keyboard,Basic software package included,Upgrade to Windows 10 for free** - it's easy. ,Natural finger-touch navigation makes the most of Windows 8. The 1920 x 1080 resolution boasts impressive color and clarity. Energy-efficient LED backlight.,Ultra-low-voltage platform. Dual-core, four-way processing provides maximum high-efficiency power to go. Intel Turbo Boost Technology delivers dynamic extra power when you need it.,Substantial high-bandwidth RAM to smoothly run your games and photo- and video-editing applications, as well as multiple programs and browser tabs all at once.,Holds a significant collection of digital photos, music, HD videos and DVD-quality movies. 5400 rpm spindle speed for standard read/write times.,On-processor graphics with shared video memory provide everyday image quality for Internet use, basic photo editing and casual gaming.,MaxxAudio is tuned to give you great sound across music, movies, voice and games.,Thin and light design with DVD/CD drive omitted for improved portability. 3-cell lithium-ion battery.,Wirelessly transfer photos, music and other media between the laptop and your Bluetooth-enabled cell phone or MP3 player, or connect Bluetooth wireless accessories.,Also includes 1 USB 2.0 port to connect more accessories and peripherals. The USB 3.0 ports are backward-compatible with USB 2.0 devices (at 2.0 speeds) and 1 supports PowerShare.,Connect to an HDTV or high-def monitor to set up two screens side by side or just see more of the big picture.,Supports SD and MMC memory card formats.,Connect to a Wireless-AC router for nearly 3x the speed, more capacity and wider coverage than Wireless-N. Backward-compatible with all other Wi-Fi networks and hotspots.,Makes it easy to video chat with family and friends or teleconference with colleagues over Skype or other popular applications.,Ensures easy typing in dim or dark locations.,With a trial version of Microsoft Office.,Note: This laptop does not include a built-in DVD/CD drive.,Intel, Pentium, Celeron, Core, Atom, Ultrabook, Intel Inside and the Intel Inside logo are trademarks or registered trademarks of Intel Corporation or its subsidiaries in the United States and other countries.,**Offer valid for qualified Windows devices for one year after Windows 10 upgrade availability. Windows 10 features vary by device. See www.windows.com/windows10specs for details",15.6 i7 8GB 1TB I7558 4010BLK 15.6 i7 8GB 1TB 8.1 15.6 5th i7 5500U 8GB 1TB 4.8 0.78 4.0 2 3.0 1.4a 10 8. 1920 1080 5400 3 MP3 1 2.0 3.0 2.0 2.0 1 3x 10 10 windows10specs,4010blk i7558 dell inspiron 1tb,0
10347,10347,10,757,Asus,AC Adapter/Battery Charger for Asus Laptops,$8.08,,DC-Output : 19V-4.74A-90W - Input : 100-240V - 1.5A 50/60 Hz. Package Includes : One AC Adapter and One US Power Cord for Listed Models. 100% Oem Compatible. This Product Has 12 Months Replacement Warranty,19V 4.74A 90W 100 240V 1.5A 50 60 100% 12,asus charger ac adapter battery,Asus,Asus ROG 17.3 Laptop Intel Core i7 16GB Memory 1TB Hard Drive + 256GB Solid State Drive Black G751JTDH72 ,"$1,901.99","ROG 17.3&#34; Laptop - Intel Core i7 - 16GB Memory - 1TB Hard Drive + 256GB Solid State Drive, Read customer reviews and buy online at Best Buy.","4th Gen Intel?? Core??? i7-4710HQ processor,Intel?? Core??? i7 processor,16GB DDR3L memory,Multiformat DVD??RW/CD-RW drive with double-layer support,17.3 LED-backlit high-definition display,1TB Serial ATA hard drive (7200 rpm),NVIDIA GTX 970M graphics,1.2MP high-definition webcam,Multiformat media reader,4 USB 3.0 ports,Built-in high-speed wireless LAN (802.11ac),Bluetooth 4.0 interface,Built-in 10/100/1000 Mbps Fast Ethernet LAN,Weighs 8.4 lbs. and measures just 1.7 thin,Dual fans with copper heat sinks,Microsoft Windows 8.1 64-bit operating system preinstalled,Features a 2.5GHz processor speed with Turbo Boost up to 3.5GHz.,Delivers efficient multiway processing for ultimate smart performance. Intel?? Turbo Boost Technology delivers extra performance when you need it and increased energy efficiency when you don't.,For multitasking power, expandable to 32GB.,Records up to 8.5GB of data or 4 hours of video using compatible DVD+R DL and DVD-R DL media.,With 1920 x 1080 resolution showcases movies, games and Web content in brilliant clarity. Matte finish allows clear viewing in brightly lit areas.,Along with a 256GB solid state drive offers spacious storage and fast read/write times.,Feature 3GB dedicated GDDR5 video memory for lush images with rich, intricate detail. The HDMI output enables simple connection to an HDTV or other high-definition display.,Makes it easy to video chat with friends and family members.,Supports SD and MMC formats.,For fast digital data transfer and easy peripheral connectivity.,Connect to the Internet without wires.,Enables simple wireless pairing with compatible devices.,With RJ-45 connector for quick and easy wired Web connection.,For portable power. Illuminated, backlit keyboard simplifies typing in low lighting.,Help ensure cool performance.,Provides a stable platform for word processing, Web navigation, gaming, media storage and more.,Intel, Pentium, Celeron, Centrino, Core, Viiv, Intel Inside and the Intel Inside logo are trademarks or registered trademarks of Intel Corporation or its subsidiaries in the United States and other countries.",17.3 i7 16GB 1TB 256GB G751JTDH72 17.3 i7 16GB 1TB 256GB 4th i7 4710HQ i7 16GB DDR3L 17.3 1TB 7200 970M 1.2MP 4 3.0 802.11ac 4.0 10 100 1000 8.4 1.7 8.1 64 2.5GHz 3.5GHz. 32GB. 8.5GB 4 1920 1080 256GB 3GB GDDR5 45,g751jtdh72 asus rog 256gb 16gb,0
15384,15384,12,2111,Asus,"ASUS Zenbook UX305LA 13.3-Inch Laptop (Intel Core i5, 8GB, 256 GB SSD, Titanium Gold) with Windows 10",$749.99,$849.99,"13.3-Inch Full-HD IPS Anti-Glare Matte Display with an Ultra-wide 170�� Viewing Angle.. Powerful 5th-generation Intel Core i5-5200U 2.2GHz (Turbo up to 2.7GHz) Broadwell.. 8 GB RAM/ 256 GB Solid State Drive; 10-Hours Battery Life. 1.2 MP High Definition Webcam.. Equipped WiFi 802.11ac. This is almost 3x faster than the typical 802.11n. Bluetooth 4.0.. Designed to be ultra-slim with an all-aluminum body. The unit weighs only 2.86 lbs, is less than .6-inch thin.",UX305LA 13.3 i5 8GB 256 10 13.3 170�� 5th i5 5200U 2.2GHz 2.7GHz 8 256 10 1.2 802.11ac. 3x 802.11n. 4.0.. 2.86 .6,inch asus zenbook ssd gold,Asus,ASUS Computer International S56CADH51 ,$606.97,"Asus Refurbished - 15.6 Ultrabook - 6 GB Memory - 750 GB Hard Drive and 24 GB Solid State Drive - Black, S56CA-DH51.","Processor Manufacturer: Intel,Processor Type: Core i5,Processor Model: i5-3317U,Processor Speed: 1.70 GHz,Processor Core: Dual-core (2 Core),Cache: 3 MB,64-bit Processing: Yes,Chipset Manufacturer: Intel,Chipset Model: HM76 Express,Standard Memory: 6 GB,Maximum Memory: 8 GB,Memory Technology: DDR3 SDRAM,Memory Standard: DDR3-1600/PC3-12800,Number of Total Memory Slots: 2,Hard Drive Capacity: 750 GB,Solid State Drive Capacity: 24 GB,Optical Drive Type: DVD-Writer,Optical Media Supported: DVD-RAM/??R/??RW,Dual-Layer Media Supported: Yes,Screen Size: 15.6,Display Screen Type: Active Matrix TFT Color LCD,Aspect Ratio: 16:9,Screen Mode: HD,Backlight Technology: LED,Touchscreen: No,Screen Resolution: 1366 x 768,Graphics Controller Manufacturer: Intel,Graphics Controller Model: HD 4000,Graphics Memory Accessibility: Shared,Ethernet Technology: Gigabit Ethernet,HDMI: Yes,Total Number of USB Ports: 3,Operating System: Windows 8,Operating System Architecture: 64-bit,Pointing Device Type: TouchPad,Number of Cells: 4-cell,Color: Black,Height: 0.8,Width: 15,Depth: 10.5,Weight (Approximate): 5.07 lb,Green Compliant: Yes,Green Compliance Certificate/Authority: RoHS",S56CADH51 15.6 6 750 24 S56CA DH51. i5 i5 3317U 1.70 2 3 64 HM76 6 8 DDR3 DDR3 1600 PC3 12800 2 750 24 15.6 16:9 1366 768 4000 3 8 64 4 0.8 15 10.5 5.07,s56cadh51 asus computer international blue,0
27054,27054,18,1738,Toshiba,"Toshiba  CB35-B3340 13.3 Inch Chromebook (Intel Celeron, 4GB, 16GB SSD, Silver) Full HD-Screen",$299.00,$299.99,"Intel Celeron Processor N2840. 4 GB DDR3L SDRAM memory, 9-hour battery life. 16 GB Solid-State Drive. 13-inch IPS Screen, Intel HD graphics. Refer support.toshiba.com for laptop related queries",CB35 B3340 13.3 4GB 16GB N2840. 4 DDR3L 9 16 13,inch b3340 cb35 toshiba screen,Toshiba,Toshiba L875DS7332 ,$466.97,"Toshiba Refurbished - 17.3 Satellite Notebook - 6 GB Memory - 640 GB Hard Drive - Mercury Silver, L875D-S7332.","Processor Manufacturer: AMD,Processor Type: A-Series,Processor Model: A6-4400M,Processor Speed: 2.70 GHz,Processor Core: Dual-core (2 Core),Cache: 1 MB,64-bit Processing: Yes,Chipset Manufacturer: AMD,Chipset Model: A70M,Standard Memory: 6 GB,Maximum Memory: 16 GB,Memory Technology: DDR3 SDRAM,Memory Standard: DDR3-1600/PC3-12800,Number of Total Memory Slots: 2,Hard Drive Capacity: 640 GB,Optical Drive Type: DVD-Writer,Optical Media Supported: DVD-RAM/??R/??RW,Dual-Layer Media Supported: Yes,Screen Size: 17.3,Display Screen Type: Active Matrix TFT Color LCD,Display Screen Technology: TruBrite,Aspect Ratio: 16:9,Screen Mode: HD+,Backlight Technology: LED,Screen Resolution: 1600 x 900,Graphics Controller Manufacturer: AMD,Graphics Controller Model: Radeon HD 7520G,Graphics Memory Accessibility: Shared,Ethernet Technology: Fast Ethernet,Wireless LAN: Yes,Wireless LAN Standard: IEEE 802.11b/g/n,Webcam: Yes,HDMI: Yes,Total Number of USB Ports: 3,Operating System: Windows 8,Pointing Device Type: TouchPad,Number of Cells: 6-cell,Battery Chemistry: Lithium Ion (Li-Ion),Color: Mercury Silver,Height: 1.3,Width: 16.3,Depth: 10.6,Weight (Approximate): 6.20 lb,Green Compliant: Yes,Green Compliance Certificate/Authority: ENERGY STAR, EPEAT Gold, RoHS",L875DS7332 17.3 6 640 L875D S7332. A6 4400M 2.70 2 1 64 A70M 6 16 DDR3 DDR3 1600 PC3 12800 2 640 17.3 16:9 1600 900 7520G 802.11b 3 8 6 1.3 16.3 10.6 6.20,l875ds7332 toshiba zseries blue blacktop,0
27664,27664,19,504,Apple,"Apple MacBook Air MJVE2LL/A 13-inch Laptop (1.6 GHz Intel Core i5,4GB RAM,128 GB SSD Hard Drive, Mac OS X)",$894.80,$999.99,"1.6 GHz Intel Core i5 (Broadwell) 4GB of 1600 MHz LPDDR3 RAM. 128GB PCIe-Based Flash Storage Integrated Intel HD Graphics 6000. 13.3\  LED-Backlit Glossy Display 1440 x 900 Native Resolution. 802.11ac Wi-Fi, Bluetooth 4.0 USB 3.0, Thunderbolt 2. 720p FaceTime HD Camera, SDXC Card Slot Mac OS X 10.10 Yosemite",MJVE2LL 13 1.6 i5 4GB 128 1.6 i5 4GB 1600 LPDDR3 128GB 6000. 13.3 1440 900 802.11ac 4.0 3.0 2. 720p 10.10,inch ram apple mac ssd,Apple,Apple 13.3 MacBook Pro Notebook 4 GB Memory 500 GB Hard Drive Silver MD313LLA ,$869.88,"13.3 MacBook Pro Notebook - 4 GB Memory - 500 GB Hard Drive, Read customer reviews and buy online at Best Buy.","Processor Manufacturer: Intel,Processor Type: Core i5,Processor Speed: 2.40 GHz,Processor Core: Dual-core (2 Core),Standard Memory: 4 GB,Memory Technology: DDR3 SDRAM,Hard Drive Capacity: 500 GB,Optical Drive Type: DVD-Writer,Screen Size: 13.3,Aspect Ratio: 16:10,Screen Resolution: 1280 x 800,Graphics Controller Manufacturer: Intel,Graphics Controller Model: HD 3000,Graphics Memory Capacity: Up to 384 MB,Graphics Memory Technology: DDR3 SDRAM,Graphics Memory Accessibility: Shared,Wireless LAN: Yes,Wireless LAN Standard: IEEE 802.11a/b/g/n,Ethernet Technology: Gigabit Ethernet,Bluetooth: Yes,Webcam: Yes,Total Number of USB Ports: 2,Network (RJ-45): Yes,DisplayPort: Yes,Thunderbolt: Yes",13.3 4 500 MD313LLA 13.3 4 500 i5 2.40 2 4 DDR3 500 13.3 16:10 1280 800 3000 384 DDR3 802.11a 2 45,md313lla apple gb macbook pro,0
29018,29018,19,4339,Apple,"Apple MacBook Air MJVE2LL/A 13-inch Laptop (1.6 GHz Intel Core i5,4GB RAM,128 GB SSD Hard Drive, Mac OS X)",$894.80,$999.99,"1.6 GHz Intel Core i5 (Broadwell) 4GB of 1600 MHz LPDDR3 RAM. 128GB PCIe-Based Flash Storage Integrated Intel HD Graphics 6000. 13.3\  LED-Backlit Glossy Display 1440 x 900 Native Resolution. 802.11ac Wi-Fi, Bluetooth 4.0 USB 3.0, Thunderbolt 2. 720p FaceTime HD Camera, SDXC Card Slot Mac OS X 10.10 Yosemite",MJVE2LL 13 1.6 i5 4GB 128 1.6 i5 4GB 1600 LPDDR3 128GB 6000. 13.3 1440 900 802.11ac 4.0 3.0 2. 720p 10.10,inch ram apple mac ssd,Apple,Mobile Edge ECO Messenger Bag for 15 Apple MacBook Pro Multi MEUME9 ,$34.99,"ECO Messenger Bag for 15&#34; Apple&#174; MacBook&#174; Pro, Read customer reviews and buy online at Best Buy.","4th Gen Intel?? Core??? i3-4160 processor,Intel?? Core??? i3 processor,4GB PC3-12800 DDR3 SDRAM,Multiformat DVD??RW/CD-RW drive with double-layer support,500GB Serial ATA hard drive (7200 rpm),Intel?? HD Graphics 4400,2 USB 3.0 and 7 USB 2.0 ports,Built-in Gigabit Ethernet LAN,Windows 7 Professional Edition 64-bit operating system preinstalled,Software package included,Features a 3MB cache and 3.6GHz processor speed.,Features smart 4-way processing performance for HD quality computing. Intel?? HD graphics provide extra graphics power for your laptop when you need it.,For multitasking power, expandable to 16GB.,Records up to 8.5GB of data or 4 hours of video using compatible DVD+R DL and DVD-R DL media; also supports DVD-RAM.,Offers spacious storage and fast read/write times.,Feature shared video memory for lush images with rich detail. VGA and DVI interfaces allow simple connection to select displays (not included).,For fast digital video, audio and data transfer.,With RJ-45 connector enables quick and easy wired Web connection.,Makes working anywhere easier and more secure. It simplifies connecting to networks and giving presentations and helps you safeguard your hard work and important information.,With CyberLink PowerDVD, CyberLink Power2Go, Adobe Flash Player and more. Includes 1-month trial of Microsoft Office 365.,Intel, Pentium, Celeron, Centrino, Core, Viiv, Intel Inside and the Intel Inside logo are trademarks or registered trademarks of Intel Corporation or its subsidiaries in the United States and other countries.",15 MEUME9 15 Apple&#174; MacBook&#174; 4th i3 4160 i3 4GB PC3 12800 DDR3 500GB 7200 4400 2 3.0 7 2.0 7 64 3MB 3.6GHz 4 16GB. 8.5GB 4 45 Power2Go 1 365.,meume9 eco apple messenger bag,0
33291,33291,23,41,Asus,ASUS X551 15-Inch Laptop [OLD VERSION],$272.87,"$1,299.00","Intel Celeron processor N2830 2.16 GHz. 500 GB Hard Drive, 4 GB RAM. 15.6-Inch Display. Webcam.. 1x USB 3.0, 1x USB 2.0, HDMI, VGA, ethernet port, SD card reader. Wireless 802.11N. Trackpad.",X551 15 N2830 2.16 500 4 15.6 1x 3.0 1x 2.0 802.11N.,inch old asus 15 laptop,Asus,Asus Transformer Book 2in1 11.6 TouchScreen Laptop Intel Atom 4GB Memory 64GB Solid State Drive Blue T200TAC1BL ,$533.99,"Transformer Book 2-in-1 11.6&#34; Touch-Screen Laptop - Intel Atom - 4GB Memory - 64GB Solid State Drive,","11.6 touch screen for hands-on control,Intel?? Atom??? processor Z3795,4GB system memory for basic multitasking,64GB solid state drive (SSD),Convertible design,Intel?? HD Graphics,Built-in speakers,Weighs 3.6 lbs. and measures 1 thin,Bluetooth interface syncs with compatible devices,1 USB 3.0 port and 1 USB 2.0 port in the base maximize the latest high-speed devices,Micro HDMI output on the display expands your viewing options,microSD card slot in the display allows storage in tablet mode,Dual-band wireless network connectivity,Windows 8.1 operating system,Built-in 2.0MP front and 5.0MP rear cameras,Island-style keyboard with chiclet keys,Additional ports,Touch, tap, glide and make the most of Windows 8. Typical 1366 x 768 HD resolution.,Powerful quad-core processing performance.,Adequate high-bandwidth RAM to smoothly run multiple applications and browser tabs all at once.,While offering less storage space than a hard drive, a flash-based SSD has no moving parts, resulting in faster start-up times and data access, no noise, and reduced heat production and power draw on the battery.,Easily detach the keyboard so the display can be used independently as a tablet.,On-processor graphics with shared video memory provide everyday image quality for Internet use, basic photo editing and casual gaming.,SonicMaster audio provides rich audio for your games, movies, music and more.,Lightweight design, featuring a slightly smaller screen and omitting the DVD/CD drive for improved portability. 2-cell lithium-ion polymer battery.,Wirelessly transfer photos, music and other media between the laptop or tablet and your Bluetooth-enabled cell phone or MP3 player, or connect Bluetooth wireless accessories.,1 micro USB port on the display to connect accessories to your tablet. USB 3.0 port is backward-compatible with USB 2.0 devices (at 2.0 speeds).,Connect the laptop or tablet to an HDTV or high-def monitor to set up two screens side by side or just see more of the big picture.,Add your microSD memory card to access and save files and media when using the tablet alone.,Built-in high-speed wireless LAN built into the screen, so it connects to your network or hotspots on all current Wi-Fi standards in both laptop and tablet modes.,Designed for touch, mouse and keyboard, so you can choose how you get around. Use the touch screen to easily zoom and customize your new Start screen, or restore the familiar Windows desktop experience.,Make it easy to video chat with family and friends or take photos on the go in tablet mode.,Wide 16:9 touchpad.,Microphone-in/headphone-out combo jack on the display for use in both laptop and tablet modes.,Note: This laptop does not include a built-in DVD/CD drive.,Intel, Pentium, Celeron, Core, Atom, Ultrabook, Intel Inside and the Intel Inside logo are trademarks or registered trademarks of Intel Corporation or its subsidiaries in the United States and other countries.",2in1 11.6 4GB 64GB T200TAC1BL 2 1 11.6 4GB 64GB 11.6 Z3795 4GB 64GB 3.6 1 1 3.0 1 2.0 8.1 2.0MP 5.0MP 8. 1366 768 2 MP3 1 3.0 2.0 2.0 16:9,t200tac1bl asus transformer 64gb book,0
33812,33812,24,351,Toshiba,"Toshiba Satellite 15.6\  Touch-screen Notebook, Intel i3, 4GB Memory, 500GB Hard Drive, Optical Drive *FREE UPGRADE TO WINDOWS 10",$399.99,$499.99,"Intel Core i3 - 4005U 1.7 GHz, 3MB Cache, 4GB DDR3L SDRAM. 500.00 GB Serial ATA 5400 RPM, Intel HD Graphics, DVD SuperMulti drive. 15.6 inch 1366x768 HD TruBrite Touchscreen, 1 USB 3.0, 2 USB 2.0. windows 8.1, free upgrade to windows 10. A 2 Year limited Warranty through BuyTaxFree included in the purchase",15.6 i3 4GB 500GB 10 i3 4005U 1.7 3MB 4GB DDR3L 500.00 5400 15.6 1366x768 1 3.0 2 2.0. 8.1 10. 2,upgrade touch optical toshiba screen,Toshiba,Toshiba 15.6 TouchScreen Laptop AMD A8Series 6GB Memory 750GB Hard Drive Black C55DTB5153 ,$399.99,"15.6&#34; Touch-Screen Laptop - AMD A8-Series - 6GB Memory - 750GB Hard Drive, Read customer reviews and buy online at Best Buy.","AMD Quad-Core A8-6410 Accelerated Processor with AMD Radeon R5 graphics,6GB DDR3L memory,Multiformat DVD??RW/CD-RW drive with double-layer support,15.6 LED-backlit TFT high-definition widescreen touch-screen display,750GB Serial ATA hard drive (5400 rpm),AMD Radeon R5 graphics,Built-in high-definition webcam and microphone,Multiformat media reader,1 USB 3.0 port and 2 USB 2.0 ports,Built-in high-speed wireless LAN (802.11b/g/n),Bluetooth 4.0 interface,Built-in 10/100 Ethernet LAN,Weighs 4.85 lbs. and measures just 1.05 thin,Textured resin finish in jet black,Microsoft Windows 8.1 64-bit operating system preinstalled,Software package included,Helps ensure optimal computing performance.,For multitasking power.,Records up to 8.5GB of data or 4 hours of video using compatible DVD+R DL and DVD-R DL media; also supports DVD-RAM.,With TruBrite technology, 1366 x 768 resolution and native support for 720p content presents detailed images.,Offers spacious storage and fast read/write times.,Deliver clear visuals. An HDMI output enables flexible connectivity.,Make it easy to video chat with loved ones.,Supports SD, SDHC, SDXC, miniSD, microSD and MMC formats (may require adapter for use).,For fast digital video, audio and data transfer.,Allows you to connect to the Internet without wires.,Easily link with other Bluetooth-enabled devices, such as a cell phone or MP3 player.,With RJ-45 connector for quick and simple wired Web access.,For easy portability. A standard keyboard with 10-keypad enables comfortable typing and data entry.,Offers a sleek look.,Provides a stable platform for word processing, Web navigation, gaming, media storage and more.,With Adobe Reader, PhotoDirector LE, PowerDirector LE and more. Includes 1-month trial of Microsoft Office 365.,AMD, AMD Arrow logo, AMD Athlon, QuantiSpeed, AMD PowerNow! and combinations thereof are trademarks of Advanced Micro Devices, Inc.",15.6 A8Series 6GB 750GB C55DTB5153 15.6 A8 6GB 750GB A8 6410 R5 6GB DDR3L 15.6 750GB 5400 R5 1 3.0 2 2.0 802.11b 4.0 10 100 4.85 1.05 8.1 64 8.5GB 4 1366 768 720p MP3 45 10 1 365.,c55dtb5153 toshiba a8series 750gb 6gb,1
